id,label,timeset,weight,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,eigencentrality
553,4765,"<[78.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.21343375936159772,0.2180329234563127,139728.0,0.0,0.15051444535070357
554,3261,"<[79.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.21343831348952333,0.2180379219567624,197434.0,0.0,0.18789582280874967
556,6261,"<[79.0, Infinity]>",1,1,7,8,1.0,7.0,8.0,5.0,0.21343831348952333,0.2180379219567624,98503.0,0.0,0.10195102591689725
557,7261,"<[79.0, Infinity]>",1,25,7,32,25.0,7.0,32.0,5.0,0.21343831348952333,0.2180379219567624,167633.0,0.0,0.16476761642136492
565,5651,"<[80.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.21343831348952333,0.21803792195676253,184704.0,0.0,0.19342625561263158
571,1271,"<[81.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.21339733333333333,0.21798960311908075,160417.0,7.11237546056509E-4,0.17900379934439886
572,0271,"<[81.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.213420098143802,0.21801792795496328,175688.0,0.0,0.18480608176110475
574,5271,"<[81.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.213420098143802,0.21801792795496328,189015.0,0.0,0.20272078460393708
579,4054,"<[82.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.2134246516887495,0.21801959412178015,170866.0,5.285412189550698E-4,0.18745468799835482
582,2404,"<[83.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.21332451856433005,0.21790629477825002,156970.0,0.0,0.1614653079045221
583,7404,"<[83.0, Infinity]>",1,49,7,56,49.0,7.0,56.0,5.0,0.21332451856433005,0.21790629477825002,188350.0,0.0,0.19400206379585686
584,1404,"<[83.0, Infinity]>",1,49,7,56,49.0,7.0,56.0,5.0,0.21332451856433005,0.21790629477825002,185853.0,0.0,0.19100004913685817
585,3404,"<[83.0, Infinity]>",1,1,7,8,1.0,7.0,8.0,5.0,0.21332451856433005,0.21790629477825002,84224.0,0.0,0.08947071178855824
587,5404,"<[83.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.21332451856433005,0.21790629477825002,168845.0,0.0,0.18095425918503602
588,0404,"<[83.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.2132699400891201,0.21781465560333588,124312.0,0.0,0.14508773880746575
589,2450,"<[84.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.213420098143802,0.21801792795496333,137950.0,0.0,0.15534824634950795
593,6450,"<[84.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.213420098143802,0.21801792795496333,184685.0,0.0,0.20673107180967099
594,0450,"<[84.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.21340188590689935,0.21799460161953063,127300.0,5.285412189550698E-4,0.13897067725245202
596,2410,"<[85.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.21343831348952333,0.2180379219567628,150459.0,0.0,0.15534824634950845
597,7410,"<[85.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.21343831348952333,0.2180379219567628,173391.0,0.0,0.18176794068582908
598,1410,"<[85.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.21343831348952333,0.2180379219567628,156668.0,0.0,0.1726488644718162
600,6410,"<[85.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.21343831348952333,0.2180379219567628,197268.0,0.0,0.20673107180967099
601,0410,"<[85.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.2134155447931557,0.21800959712088025,130999.0,7.11237546056509E-4,0.13285361569743814
603,3041,"<[86.0, Infinity]>",1,13,7,20,13.0,7.0,20.0,5.0,0.2134155447931557,0.21801292945451325,74760.0,0.0,0.1001161011804402
604,6041,"<[86.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.2134155447931557,0.21801292945451325,86020.0,0.0,0.11918922349892977
608,1041,"<[86.0, Infinity]>",1,19,7,26,19.0,7.0,26.0,5.0,0.21340188590689935,0.21799460161953046,112385.0,0.0015384615398943424,0.146116137898479
611,4265,"<[87.0, Infinity]>",1,49,7,56,49.0,7.0,56.0,5.0,0.21342920542801058,0.2180279249558629,155682.0,0.0,0.14884933212772444
612,6265,"<[87.0, Infinity]>",1,1,7,8,1.0,7.0,8.0,5.0,0.21342920542801058,0.2180279249558629,81819.0,0.0,0.10195102591689725
614,5265,"<[87.0, Infinity]>",1,49,7,56,49.0,7.0,56.0,5.0,0.2134064386747168,0.21799960011998035,201372.0,3.246753185521811E-4,0.20883784615895087
616,0265,"<[87.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.21342920542801058,0.2180279249558629,181215.0,0.0,0.18480608176110475
619,2764,"<[88.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.21344742232843975,0.2180479189576627,150740.0,0.0,0.1626546744923641
620,3764,"<[88.0, Infinity]>",1,1,7,8,1.0,7.0,8.0,5.0,0.21344742232843975,0.2180479189576627,89615.0,0.0,0.08947071178855824
623,4764,"<[88.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.213420098143802,0.21801459562133027,139365.0,0.005494505632668734,0.15051444535070357
638,0134,"<[91.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.2134064386747168,0.21799960011998085,66651.0,0.0,0.0972642334503638
639,2134,"<[91.0, Infinity]>",1,1,7,8,1.0,7.0,8.0,5.0,0.2134064386747168,0.21799960011998085,64253.0,0.0,0.09934319908411003
640,3134,"<[91.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.2134064386747168,0.21799960011998085,90253.0,0.0,0.1289511814246286
641,4134,"<[91.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.21339278095400632,0.21798127228499803,107114.0,0.005494505632668734,0.1505144453507033
642,6134,"<[91.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.2134064386747168,0.21799960011998085,112049.0,0.0,0.15573009901627785
643,7134,"<[91.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.2134064386747168,0.21799960011998085,103624.0,0.0,0.14482769803817783
644,5134,"<[91.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.2134064386747168,0.21799960011998085,124964.0,0.0,0.17237335014643637
646,0341,"<[92.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.213420098143802,0.21801792795496322,101293.0,0.0,0.12903890781327498
648,4341,"<[92.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.213420098143802,0.21801792795496322,80713.0,0.0,0.10285243380633649
650,2341,"<[92.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.213420098143802,0.21801792795496322,122226.0,0.0,0.15629973961978155
651,1341,"<[92.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.21340188590689935,0.2179946016195305,79218.0,0.005494505632668734,0.10051860670739468
653,6504,"<[93.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.2134155447931557,0.2180129294545137,172919.0,0.0,0.1908437346282153
654,7504,"<[93.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.2134155447931557,0.2180129294545137,112633.0,0.0,0.12322266643201206
655,2504,"<[93.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.2134155447931557,0.2180129294545137,181986.0,0.0,0.20253451125873828
656,1504,"<[93.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.2134155447931557,0.2180129294545137,155906.0,0.0,0.17399972487239396
657,0504,"<[93.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.2134155447931557,0.2180129294545137,150009.0,0.0,0.17392281905165408
658,4504,"<[93.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.21339733333333333,0.21798960311908103,157896.0,7.11237546056509E-4,0.18451509387963191
659,0615,"<[94.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.2134246516887495,0.21802292645541307,191748.0,0.0,0.19910468522441466
660,3615,"<[94.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.2134246516887495,0.21802292645541307,162444.0,0.0,0.16748015779042538
662,7615,"<[94.0, Infinity]>",1,1,7,8,1.0,7.0,8.0,5.0,0.2134246516887495,0.21802292645541307,78211.0,0.0,0.091048624938797
664,1615,"<[94.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.2134246516887495,0.21802292645541307,153352.0,0.0,0.16788266331738005
666,7601,"<[95.0, Infinity]>",1,13,7,20,13.0,7.0,20.0,5.0,0.21339733333333333,0.21798960311908047,72821.0,0.0,0.10328274804882467
667,1601,"<[95.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.21338367677801953,0.21797127528409763,98049.0,0.005494505632668734,0.14341441709732497
